encoding,model,mean_AUROC,variance_AUROC,std_AUROC,min_AUROC,max_AUROC,n,encoding_order,model_order
1-mer,XGBoost,0.5548850779839148,2.523097344039238e-05,0.005023044240337963,0.5492284420249017,0.5588237227895374,3,0,0
1-mer,Random Forest,0.5208855407277163,0.00015143975662140115,0.012306086161790073,0.5083232832142347,0.5329183667335422,3,0,1
1-mer,SVM,0.5558977605454241,3.4018443430432244e-05,0.005832533191541411,0.5491636328456677,0.5593490058835464,3,0,2
2-mer,XGBoost,0.6489422171376761,4.294489754175303e-06,0.002072315071164446,0.6468096977074458,0.6509485621754845,3,1,0
2-mer,Random Forest,0.690626651538263,3.9193979374152234e-05,0.006260509513941516,0.6834926324173636,0.6952052478528437,3,1,1
2-mer,SVM,0.6448461674293485,1.1464848789830853e-05,0.003385978261866259,0.6410886439289767,0.6476606704086922,3,1,2
3-mer,XGBoost,0.6904416949071882,4.13102628764174e-05,0.006427306035690023,0.6858722564114125,0.697791040177934,3,2,0
3-mer,Random Forest,0.7956116515006926,4.2853876519341197e-05,0.00654628723165591,0.7882369461163334,0.8007357250738261,3,2,1
3-mer,SVM,0.7291262783375787,3.8798240644226676e-05,0.006228823375584403,0.7219780137207608,0.7333895952150161,3,2,2
4-mer,XGBoost,0.7121581707155183,1.149543065560787e-05,0.003390491211551487,0.7083089124831872,0.7147015396406753,3,3,0
4-mer,Random Forest,0.8321879015351322,1.7422765794318785e-06,0.001319953248956901,0.831289730844661,0.8337034031393942,3,3,1
4-mer,SVM,0.7972075384033523,5.463812125066044e-06,0.0023374798662375777,0.7946995484021249,0.7993254209778861,3,3,2
7-mer,XGBoost,0.6969457813294461,4.785941095543592e-05,0.00691804964967988,0.6897194795728981,0.7035076324549341,3,4,0
7-mer,Random Forest,0.8513023827235634,3.949111164265617e-05,0.006284195385461545,0.8460671629734826,0.8582714828340208,3,4,1
7-mer,SVM,0.8494269866674683,1.93654463265032e-05,0.0044006188572180615,0.8446101305200515,0.8532367958341787,3,4,2
1-2mer,XGBoost,0.6464585697146393,7.427515809747716e-05,0.0086183036670494,0.6379829692748136,0.655212818316389,3,5,0
1-2mer,Random Forest,0.6807603932633519,6.249402902175156e-05,0.00790531650357856,0.675608454874026,0.6898622476199063,3,5,1
1-2mer,SVM,0.6190721517148446,1.54496518291794e-05,0.00393060451192681,0.6145366049758421,0.6214857457376224,3,5,2
1-3mer,XGBoost,0.7005188178304768,8.113016407448859e-05,0.009007228434678927,0.6935589538107798,0.7106920587152379,3,6,0
1-3mer,Random Forest,0.7760637002221671,1.1393865058394066e-05,0.003375479974521263,0.7725867034106535,0.7793275624985911,3,6,1
1-3mer,SVM,0.6644960287940608,3.3434466357437855e-05,0.005782254435550018,0.6582837402222673,0.6697211514618697,3,6,2
1-4mer,XGBoost,0.7299226954857746,1.5778155215824084e-05,0.003972172606499381,0.7261605539400223,0.7340759619936431,3,7,0
1-4mer,Random Forest,0.8180100325861807,2.0635038319508734e-05,0.0045425805793082785,0.8128188799471008,0.8212567533043289,3,7,1
1-4mer,SVM,0.703192744377569,7.51180226462323e-05,0.008667065399905109,0.6933882426756235,0.7098333370903871,3,7,2
1-7mer,XGBoost,0.7444723562238101,9.425897905662714e-05,0.009708706353403998,0.736243077628247,0.7551800380213851,3,8,0
1-7mer,Random Forest,0.8510621660918374,2.8179582981850713e-06,0.0016786775444334362,0.8497803062750313,0.8529622960859014,3,8,1
1-7mer,SVM,0.802601102319605,1.7089670970367542e-05,0.00413396552602553,0.7980705649857608,0.8061684249678773,3,8,2
