repeat,split_seed,encoding,encoding_order,k_values,theoretical_features,train_seen_features,model,model_order,train_size,test_size,AUROC,fit_seconds
1,42,1-2mer,5,1-2,20,20,Random Forest,1,11752,2939,0.6768104772961235,6.185287433676422
1,42,1-2mer,5,1-2,20,20,SVM,2,11752,2939,0.6145366049758421,19.67937503848225
1,42,1-2mer,5,1-2,20,20,XGBoost,0,11752,2939,0.6379829692748136,0.3604116411879658
1,42,1-3mer,6,1-2-3,84,84,Random Forest,1,11752,2939,0.7725867034106535,6.403701254166663
1,42,1-3mer,6,1-2-3,84,84,SVM,2,11752,2939,0.6582837402222673,39.37464583385736
1,42,1-3mer,6,1-2-3,84,84,XGBoost,0,11752,2939,0.6935589538107798,0.4537365548312664
1,42,1-4mer,7,1-2-3-4,340,340,Random Forest,1,11752,2939,0.8128188799471008,6.273172902874649
1,42,1-4mer,7,1-2-3-4,340,340,SVM,2,11752,2939,0.6933882426756235,58.62324689049274
1,42,1-4mer,7,1-2-3-4,340,340,XGBoost,0,11752,2939,0.7261605539400223,0.5901496736332774
1,42,1-7mer,8,1-2-3-4-5-6-7,21844,20229,Random Forest,1,11752,2939,0.8504438959145795,6.436255027540028
1,42,1-7mer,8,1-2-3-4-5-6-7,21844,20229,SVM,2,11752,2939,0.8035643170051772,102.6462698513642
1,42,1-7mer,8,1-2-3-4-5-6-7,21844,20229,XGBoost,0,11752,2939,0.7419939530217984,3.7759830122813582
1,42,1-mer,0,1,4,4,Random Forest,1,11752,2939,0.5329183667335422,5.586779077537358
1,42,1-mer,0,1,4,4,SVM,2,11752,2939,0.5491636328456677,11.26969469897449
1,42,1-mer,0,1,4,4,XGBoost,0,11752,2939,0.5566030691373053,0.2820793678984046
1,42,2-mer,1,2,16,16,Random Forest,1,11752,2939,0.6952052478528437,6.117523602209985
1,42,2-mer,1,2,16,16,SVM,2,11752,2939,0.6410886439289767,18.776201218366623
1,42,2-mer,1,2,16,16,XGBoost,0,11752,2939,0.6468096977074458,0.302185969427228
1,42,3-mer,2,3,64,64,Random Forest,1,11752,2939,0.7882369461163334,5.9752309480682015
1,42,3-mer,2,3,64,64,SVM,2,11752,2939,0.7219780137207608,27.392845689319078
1,42,3-mer,2,3,64,64,XGBoost,0,11752,2939,0.6876617881322183,0.3579927645623684
1,42,4-mer,3,4,256,256,Random Forest,1,11752,2939,0.831289730844661,5.9610114227980375
1,42,4-mer,3,4,256,256,SVM,2,11752,2939,0.7975976458300459,28.982644031755623
1,42,4-mer,3,4,256,256,XGBoost,0,11752,2939,0.7083089124831872,0.3918912354856729
1,42,7-mer,4,7,16384,14773,Random Forest,1,11752,2939,0.8495685023631868,6.401227533817291
1,42,7-mer,4,7,16384,14773,SVM,2,11752,2939,0.8532367958341787,27.240463806316257
1,42,7-mer,4,7,16384,14773,XGBoost,0,11752,2939,0.697610231960506,1.3690874269232154
2,43,1-2mer,5,1-2,20,20,Random Forest,1,11752,2939,0.675608454874026,6.160654035396874
2,43,1-2mer,5,1-2,20,20,SVM,2,11752,2939,0.6214857457376224,19.60396363865584
2,43,1-2mer,5,1-2,20,20,XGBoost,0,11752,2939,0.655212818316389,0.3832360710948705
2,43,1-3mer,6,1-2-3,84,84,Random Forest,1,11752,2939,0.7762768347572567,6.204309246502817
2,43,1-3mer,6,1-2-3,84,84,SVM,2,11752,2939,0.6697211514618697,39.79765472561121
2,43,1-3mer,6,1-2-3,84,84,XGBoost,0,11752,2939,0.7106920587152379,0.4584854282438755
2,43,1-4mer,7,1-2-3-4,340,340,Random Forest,1,11752,2939,0.8199544645071123,6.207524953410029
2,43,1-4mer,7,1-2-3-4,340,340,SVM,2,11752,2939,0.7063566533666961,57.98348654527217
2,43,1-4mer,7,1-2-3-4,340,340,XGBoost,0,11752,2939,0.7340759619936431,0.5858087465167046
2,43,1-7mer,8,1-2-3-4-5-6-7,21844,20239,Random Forest,1,11752,2939,0.8497803062750313,6.525551091879606
2,43,1-7mer,8,1-2-3-4-5-6-7,21844,20239,SVM,2,11752,2939,0.7980705649857608,102.06758567504583
